,Team,Opp,Day,Week
202012060atl,NO,ATL,Sun,13
202012060oti,CLE,TEN,Sun,13
202012060nyj,LV,NYJ,Sun,13
202012060atl,ATL,NO,Sun,13
202012060pit,WAS,PIT,Sun,13
202012060chi,DET,CHI,Sun,13
202012060pit,PIT,WAS,Sun,13
202012060kan,DEN,KC,Sun,13
202012060sea,SEA,NYG,Sun,13
202012060gnb,PHI,GB,Sun,13
202012060oti,TEN,CLE,Sun,13
202012070sfo,BUF,SF,Mon,13
202012130det,DET,GB,Sun,14
202012100ram,NE,LAR,Thu,14
202012130det,GB,DET,Sun,14
202012130cin,DAL,CIN,Sun,14
202012130chi,CHI,HOU,Sun,14
202012130mia,KC,MIA,Sun,14
202012130sdg,LAC,ATL,Sun,14
202012130tam,TB,MIN,Sun,14
202012100ram,LAR,NE,Thu,14
202012130mia,MIA,KC,Sun,14
202012130tam,MIN,TB,Sun,14
202012130nyg,ARI,NYG,Sun,14
202012130rai,IND,LV,Sun,14
202012130sfo,SF,WAS,Sun,14
202012130buf,BUF,PIT,Sun,14
202012130nyg,NYG,ARI,Sun,14
202012130sea,NYJ,SEA,Sun,14
202012140cle,CLE,BAL,Mon,14
202012130rai,LV,IND,Sun,14
202012130phi,NO,PHI,Sun,14
202012140cle,BAL,CLE,Mon,14
202012130car,CAR,DEN,Sun,14
202012130sfo,WAS,SF,Sun,14
202012130sdg,ATL,LAC,Sun,14
202012130car,DEN,CAR,Sun,14
202012130sea,SEA,NYJ,Sun,14
202012130buf,PIT,BUF,Sun,14
202012130jax,TEN,JAC,Sun,14
202012130phi,PHI,NO,Sun,14
202012130chi,HOU,CHI,Sun,14
202012130jax,JAC,TEN,Sun,14
202012130cin,CIN,DAL,Sun,14
202012200was,WAS,SEA,Sun,15
202012170rai,LAC,LV,Thu,15
202012200gnb,GB,CAR,Sun,15
202012200oti,DET,TEN,Sun,15
202012200nyg,NYG,CLE,Sun,15
202012170rai,LV,LAC,Thu,15
202012200rav,BAL,JAC,Sun,15
202012200nor,KC,NO,Sun,15
202012200atl,TB,ATL,Sun,15
202012200ram,LAR,NYJ,Sun,15
202012200mia,MIA,NE,Sun,15
202012200min,MIN,CHI,Sun,15
202012200crd,ARI,PHI,Sun,15
202012200clt,IND,HOU,Sun,15
202012200dal,SF,DAL,Sun,15
202012200ram,NYJ,LAR,Sun,15
202012200mia,NE,MIA,Sun,15
202012200den,BUF,DEN,Sun,15
202012200nor,NO,KC,Sun,15
202012200gnb,CAR,GB,Sun,15
202012200den,DEN,BUF,Sun,15
202012200was,SEA,WAS,Sun,15
202012200atl,ATL,TB,Sun,15
202012200oti,TEN,DET,Sun,15
202012210cin,PIT,CIN,Mon,15
202012200crd,PHI,ARI,Sun,15
202012200clt,HOU,IND,Sun,15
202012200rav,JAC,BAL,Sun,15
202012200min,CHI,MIN,Sun,15
202012210cin,CIN,PIT,Mon,15
202012200nyg,CLE,NYG,Sun,15
202012200dal,DAL,SF,Sun,15
202012270rav,NYG,BAL,Sun,16
202012270sdg,DEN,LAC,Sun,16
202012270dal,DAL,PHI,Sun,16
202012270was,WAS,CAR,Sun,16
202012270nyj,CLE,NYJ,Sun,16
202012270gnb,GB,TEN,Sun,16
202012270rai,LV,MIA,Sun,16
202012270rav,BAL,NYG,Sun,16
202012270kan,KC,ATL,Sun,16
202012270det,TB,DET,Sun,16
202012270sea,LAR,SEA,Sun,16
202012270rai,MIA,LV,Sun,16
202012250nor,MIN,NO,Fri,16
202012270crd,ARI,SF,Sun,16
202012270pit,IND,PIT,Sun,16
202012270crd,SF,ARI,Sun,16
202012280nwe,BUF,NE,Mon,16
202012270nyj,NYJ,CLE,Sun,16
202012250nor,NO,MIN,Fri,16
202012270sea,SEA,LAR,Sun,16
202012270was,CAR,WAS,Sun,16
202012270gnb,TEN,GB,Sun,16
202012270kan,ATL,KC,Sun,16
202012270pit,PIT,IND,Sun,16
202012270dal,PHI,DAL,Sun,16
202012270htx,HOU,CIN,Sun,16
202012270jax,JAC,CHI,Sun,16
202012270jax,CHI,JAC,Sun,16
202012270htx,CIN,HOU,Sun,16
202012270det,DET,TB,Sun,16
202012280nwe,NE,BUF,Mon,16
202012270sdg,LAC,DEN,Sun,16
202101030htx,TEN,HOU,Sun,17
202101030car,NO,CAR,Sun,17
202101030den,DEN,LV,Sun,17
202101030sfo,SEA,SF,Sun,17
202101030nyg,DAL,NYG,Sun,17
202101030cle,CLE,PIT,Sun,17
202101030chi,GB,CHI,Sun,17
202101030den,LV,DEN,Sun,17
202101030cin,BAL,CIN,Sun,17
202101030kan,KC,LAC,Sun,17
202101030tam,TB,ATL,Sun,17
202101030ram,LAR,ARI,Sun,17
202101030buf,MIA,BUF,Sun,17
202101030det,MIN,DET,Sun,17
202101030ram,ARI,LAR,Sun,17
202101030clt,IND,JAC,Sun,17
202101030sfo,SF,SEA,Sun,17
202101030buf,BUF,MIA,Sun,17
202101030car,CAR,NO,Sun,17
202101030tam,ATL,TB,Sun,17
202101030cle,PIT,CLE,Sun,17
202101030phi,PHI,WAS,Sun,17
202101030htx,HOU,TEN,Sun,17
202101030clt,JAC,IND,Sun,17
202101030chi,CHI,GB,Sun,17
202101030cin,CIN,BAL,Sun,17
202101030det,DET,MIN,Sun,17
202101030nwe,NE,NYJ,Sun,17
202101030phi,WAS,PHI,Sun,17
202101030kan,LAC,KC,Sun,17
202101030nyg,NYG,DAL,Sun,17
202101030nwe,NYJ,NE,Sun,17
